"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"76","B","E2","P36","LS",54080,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,32,-0.249556344068618,-0.549260235117624
"77","B","E2","P37","S",55616,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,32,-0.0791180855702766,-0.167752828470289
"78","B","E2","P38","S",57152,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,32,1.04202997771639,0.852637316700952
"79","B","E2","P39","S",58688,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,32,0.834646372165537,0.864629655475352
"80","B","E2","P40","S",60224,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,32,0.99051286478927,0.991987483188758
"81","N","E1","P01","LS",711,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,32,-0.188863581483588,-0.163839459748511
"82","N","E1","P02","LS",2247,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,32,-0.362946331024203,-0.205161729220892
"83","N","E1","P03","LS",3783,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,32,-0.170304795212389,-0.340627985793616
"84","N","E1","P04","S",5509,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,32,-0.150975731931112,-0.254354188673808
"85","N","E1","P05","S",7045,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,32,0.12301811033888,0.136704423158741
