"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both","P_Avg_Both"
"72","B","E2","P32","LS",47898,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,-0.0938145523892673,0.0166056720506858
"73","B","E2","P33","LS",49434,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,-0.0634796798103133,-0.248232147799
"74","B","E2","P34","LS",50970,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.383035404752262,-0.446639909090499
"75","B","E2","P35","S",52506,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.411927001607511,-0.436415583293481
"76","B","E2","P36","LS",54042,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,-0.1562165355686,-0.47522258023303
"77","B","E2","P37","S",55578,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.0564265594389722,-0.113776181294527
"78","B","E2","P38","S",57114,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.838252151421492,0.577569691289338
"79","B","E2","P39","S",58650,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.472657514013346,0.578459226695655
"80","B","E2","P40","S",60186,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,0.784444137087159,0.598717818337723
"81","N","E1","P01","LS",794,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,13,-0.0656569487257824,-0.129740327001401
"82","N","E1","P02","LS",2330,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,13,-0.270610665535152,-0.109018510543582
"83","N","E1","P03","LS",3866,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,13,-0.258839467486755,-0.425375358031869
"84","N","E1","P04","S",5471,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,13,-0.31572188833627,-0.448575334856236
"85","N","E1","P05","S",7007,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,13,-0.0337713288182549,-0.0152372780103191
"86","N","E1","P06","S",8543,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,13,0.0154393186287441,0.0114072617989066
"87","N","E1","P07","LS",10010,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,13,0.0561774774478963,0.124561194284223
"88","N","E1","P08","LS",11546,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,13,-0.437517808056709,-0.409777651242503
"89","N","E1","P09","S",13151,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,13,-0.320938451430837,-0.138745626931687
"90","N","E1","P10","S",14687,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,13,-0.121671899815479,-0.02892697395009
"91","N","E1","P11","S",16223,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,13,-0.482424908516299,-0.313023556605041
"92","N","E1","P12","LS",17690,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,13,-0.509115402946688,-0.586930340506581
"93","N","E1","P13","S",19295,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,13,-0.221947993751442,-0.237074507189986
"94","N","E1","P14","S",20831,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,13,0.13969288705346,0.224024683997593
"95","N","E1","P15","S",22367,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,13,-0.218614743244345,-0.328203568338305
"96","N","E1","P16","S",23903,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,13,-0.408219121138175,-0.237979222666933
"97","N","E1","P17","S",25439,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,13,-0.255583073931929,-0.0890323571679187
"98","N","E1","P18","LS",26906,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,13,-0.365478266808847,-0.522232084207445
"99","N","E1","P19","LS",28442,"R","R",31,"M",2,10,NA,0,67,47,34,0.73,0.51,0.37,NA,13,-0.0535754024301979,-0.0530229093191898
