"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"36","B","E1","Left","P36","LS",108539,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,30,-0.127612668831894,-0.188601933229614,-0.0666234044341742,-0.578617481736976,-0.723123076713182,-0.434111886760769
"37","B","E1","Left","P37","S",111559,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,30,0.164880507761796,0.212142157569208,0.117618857954384,0.0505769483150217,0.123054402716328,-0.0219005060862846
"38","B","E1","Left","P38","S",114552,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,30,1.17031077751967,1.00536184455777,1.33525971048157,1.12133905504759,1.11051046079566,1.13216764929951
"39","B","E1","Left","P39","S",117181,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,30,1.07803834924479,1.10142121192221,1.05465548656737,1.08683249286729,0.948771522168637,1.22489346356594
"40","B","E1","Left","P40","S",120174,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,30,1.20157878823523,1.22310363532278,1.18005394114768,1.2805811046768,1.34590949002311,1.2152527193305
"41","B","E1","Right","P01","LS",1012,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,30,-0.35115507685333,-0.624243070422685,-0.0780670832839741,-0.227919412336645,-0.456292325397484,0.000453500724193703
"42","B","E1","Right","P02","LS",4086,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,30,-1.14286397639378,-1.2477309105101,-1.03799704227746,-0.974843456186279,-0.882117885479493,-1.06756902689307
"43","B","E1","Right","P03","LS",7119,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,30,-0.108618603104924,-0.109717960128094,-0.107519246081755,-0.324260599792017,-0.453401996900806,-0.195119202683228
"44","B","E1","Right","P04","S",9680,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,30,-0.111798584113157,0.00451943593975573,-0.228116604166071,-0.114104290771964,-0.0325299983007165,-0.195678583243212
"45","B","E1","Right","P05","S",12673,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,30,0.136589188461222,0.278965288104314,-0.00578691118186997,0.147708535005318,0.0632583058084609,0.232158764202174
"46","B","E1","Right","P06","S",15911,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,30,-0.33046681997567,-0.364016235779107,-0.296917404172233,-0.18040415241841,0.0578351345601496,-0.418643439396969
