"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Hem","CP_Avg_Single","CP_Avg_Single_Med","P_Avg_Hem","P_Avg_Single","P_Avg_Single_Med"
"36","B","E1","Left","P36","LS",108167,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,-0.0828941547807809,-0.0959319657749203,-0.0698563437866413,-0.417102949464108,-0.533571220852926,-0.30063467807529
"37","B","E1","Left","P37","S",111161,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.281902118668088,0.364784292297721,0.199019945038454,0.167504115343284,0.291148383704019,0.0438598469825494
"38","B","E1","Left","P38","S",114154,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,1.01680890715266,0.889192791661269,1.14442502264404,0.790516079056311,0.634396873549515,0.946635284563108
"39","B","E1","Left","P39","S",116904,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.762670795586107,0.744426417940499,0.780915173231715,0.905352586439671,0.798784375454205,1.01192079742514
"40","B","E1","Left","P40","S",120018,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,1.05244336371065,0.970989058724772,1.13389766869652,1.08499998987688,1.2037974938518,0.966202485901953
"41","B","E1","Right","P01","LS",734,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.189748325058902,-0.333413101826207,-0.0460835482915968,-0.182855616590022,-0.493192512951078,0.127481279771035
"42","B","E1","Right","P02","LS",3363,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.919459027274248,-0.949403443797167,-0.889514610751328,-0.694584400914045,-0.501832282236271,-0.887336519591819
"43","B","E1","Right","P03","LS",6356,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.192330510905599,-0.164895451649464,-0.219765570161734,-0.388984485266146,-0.437429785712242,-0.34053918482005
"44","B","E1","Right","P04","S",10215,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.322330996768511,-0.266483692912867,-0.378178300624155,-0.384841725934114,-0.352910424829605,-0.416773027038624
"45","B","E1","Right","P05","S",12639,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.0596250042012768,-0.0193229521743795,-0.0999270562281741,-0.0936650128436434,-0.115847466273418,-0.0714825594138685
"46","B","E1","Right","P06","S",16338,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,-0.0739051994097765,-0.20625924797593,0.058448849156377,-0.079686377917677,0.0473514541692048,-0.206724210004559
"47","B","E1","Right","P07","LS",18626,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.0304160806238586,0.0423902532036398,-0.103222414451357,0.110983944424685,0.247492792323654,-0.0255249034742846
"48","B","E1","Right","P08","LS",21661,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.336907054210367,-0.276784996136933,-0.397029112283799,-0.45953704206816,-0.330946087126662,-0.588127997009659
"49","B","E1","Right","P09","S",24980,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.40545627784968,-0.391368610016036,-0.419543945683323,-0.273308741658443,-0.213666513197356,-0.33295097011953
"50","B","E1","Right","P10","S",28339,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.152386337432696,-0.167206828724804,-0.137565846140588,-0.209152235896388,-0.164479114291441,-0.253825357501335
"51","B","E1","Right","P11","S",31332,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.432288557565312,-0.368994835564529,-0.495582279566096,-0.194297630038543,-0.122286283302049,-0.266308976775037
"52","B","E1","Right","P12","LS",33961,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.546459615775901,-0.657557130135129,-0.435362101416673,-0.78039159776162,-0.787767148228835,-0.773016047294405
"53","B","E1","Right","P13","S",37563,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.388144499800375,-0.532382154624474,-0.243906844976276,-0.430407866528967,-0.584464625787613,-0.276351107270322
"54","B","E1","Right","P14","S",40897,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.0644102119527526,-0.010088288069569,0.138908711975074,0.0369529601491375,0.0485292688389181,0.0253766514593568
"55","B","E1","Right","P15","S",43795,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.309644315033342,-0.205061289667565,-0.414227340399119,-0.289896111904272,-0.319445806849658,-0.260346416958886
"56","B","E1","Right","P16","S",47020,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.47439494673645,-0.506268124526338,-0.442521768946561,-0.385444477291743,-0.358341781764798,-0.412547172818687
"57","B","E1","Right","P17","S",50025,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.323395187903481,-0.175890250497959,-0.470900125309004,-0.0964570900762642,-0.0365185462171658,-0.156395633935363
