"","Condition","Epoch","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Both_r","P_Avg_Both_r"
"53","B","E2","P13","S",18714,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,0.0152664860661794,0.0179558482955542
"54","B","E2","P14","S",20250,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,-0.168510397667211,-0.189635587241764
"55","B","E2","P15","S",21786,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.0193025758829907,0.0767377974957717
"56","B","E2","P16","S",23322,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.0218829178381839,-0.0917658624575118
"57","B","E2","P17","S",24858,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,0.0519611462415509,0.0104405452771029
"58","B","E2","P18","LS",26394,"R","R",26,"F",3,11,NA,0,58,41,20,0.63,0.45,0.22,NA,13,0.0594524542515784,-0.055183522683107
"59","B","E2","P19","LS",27930,"R","R",31,"M",2,10,NA,0,68,45,31,0.74,0.49,0.34,NA,13,0.106270715962908,0.239863780416659
"60","B","E2","P20","S",29466,"R","R",33,"M",28,NA,"College",1.5,58,37,28,0.63,0.4,0.3,NA,13,0.00209308509662054,0.145815780822694
"61","B","E2","P21","LS",31002,"R","R",29,"M",1.5,11,NA,0,63,51,34,0.68,0.55,0.37,NA,13,-0.1674121003027,-0.0390082894024801
"62","B","E2","P22","LS",32538,"R","R",24,"M",0,NA,NA,0,61,49,31,0.66,0.53,0.34,NA,13,0.0292789130612753,0.151184192729656
"63","B","E2","P23","LS",34074,"L","R",33,"M",3,9,NA,0,48,45,27,0.52173913,0.489130435,0.293478261,NA,13,0.112142408781771,0.135399801818497
"64","B","E2","P24","S",35610,"R","R",35,"M",30,NA,"Semi-Pro",3,21,21,10,0.512195122,0.512195122,0.243902439,NA,13,-0.0797481140619019,-0.134418733056423
"65","B","E2","P25","LS",37146,"R","R",23,"F",2,NA,NA,0,55,47,31,0.597826087,0.510869565,0.336956522,NA,13,-0.0476915245877073,-0.0373387739620789
"66","B","E2","P26","LS",38682,"R","R",34,"F",0,NA,NA,0,49,49,24,0.532608696,0.532608696,0.260869565,NA,13,0.064469942800864,0.104556297118654
"67","B","E2","P27","LS",40218,"R","R",42,"M",0,NA,NA,0,55,49,28,0.597826087,0.532608696,0.304347826,NA,13,0.490672359573621,0.486235117976243
"68","B","E2","P28","LS",41754,"R","R",26,"F",0,NA,NA,0,45,52,25,0.494505495,0.571428571,0.274725275,NA,13,-0.149416694881755,-0.266830531773837
"69","B","E2","P29","S",43290,"L","L",25,"F",16,18,"College",0,65,49,33,0.706521739,0.532608696,0.358695652,NA,13,-0.0482465342248857,0.145255037646875
"70","B","E2","P30","S",44826,"R","R",31,"M",27,NA,"Premier League",1,65,57,40,0.706521739,0.619565217,0.434782609,NA,13,-0.079763678033766,-0.109217707790834
"71","B","E2","P31","S",46362,"R","R",29,"M",25,NA,"Premier League",4,58,42,27,0.630434783,0.456521739,0.293478261,NA,13,0.157411423600755,0.279606144013636
"72","B","E2","P32","LS",47898,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,0.036101019094351,0.0206453989277138
"73","B","E2","P33","LS",49434,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,-0.0781340578662152,0.0568141792093657
"74","B","E2","P34","LS",50970,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,0.150809435612508,0.121221230181118
"75","B","E2","P35","S",52506,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,0.105590199734821,0.0499454936770873
"76","B","E2","P36","LS",54042,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,-0.0933398085000179,-0.0740376548845949
"77","B","E2","P37","S",55578,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,-0.135544645009249,-0.0539766471757616
"78","B","E2","P38","S",57114,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,0.2037778262949,0.275067625411614
"79","B","E2","P39","S",58650,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.361988858152191,0.286170428779697
"80","B","E2","P40","S",60186,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,0.206068727702111,0.393269664851035
"81","N","E1","P01","LS",794,"R","R",34,"M",0,NA,NA,0,43,46,25,0.47,0.5,0.27,NA,13,-0.123206632757806,-0.0340991327471102
"82","N","E1","P02","LS",2330,"R","R",26,"M",3,13,NA,0,66,49,37,0.72,0.53,0.4,NA,13,-0.0923356654890515,-0.0961432186773103
"83","N","E1","P03","LS",3866,"R","R",24,"M",1,NA,NA,0,48,45,26,0.52,0.49,0.28,NA,13,0.0885346722743658,0.0847473722382533
"84","N","E1","P04","S",5471,"R","R",33,"M",29,NA,"College",3.5,70,46,36,0.76,0.5,0.39,NA,13,0.164746156405158,0.194221146182428
"85","N","E1","P05","S",7007,"R","R",52,"M",48,NA,"Semi-Pro",3,69,45,37,0.75,0.49,0.4,NA,13,0.156789439157135,0.15194170116906
"86","N","E1","P06","S",8543,"R","R",50,"M",42,NA,"Unknown",1,64,44,32,0.7,0.48,0.35,NA,13,-0.24344097664062,-0.129773449223522
"87","N","E1","P07","LS",10010,"R","R",27,"M",0,NA,NA,0.04,58,49,37,0.63,0.53,0.4,NA,13,0.215201938384825,0.154641801618479
"88","N","E1","P08","LS",11546,"R","R",26,"F",0,NA,NA,0,47,51,26,0.51,0.55,0.28,NA,13,0.0434691206098309,-0.0553533417649661
"89","N","E1","P09","S",13151,"R","R",38,"M",30,NA,"College",2,77,43,36,0.84,0.47,0.39,NA,13,-0.0724910711450769,-0.101177225327135
"90","N","E1","P10","S",14687,"R","R",27,"F",21,22,"College",0,52,48,27,0.57,0.52,0.29,NA,13,-0.051137797912013,-0.130162101290058
"91","N","E1","P11","S",16223,"R","R",28,"M",23,NA,"Club College",1.5,60,50,34,0.65,0.54,0.37,NA,13,0.110702983907434,0.00745645420330793
"92","N","E1","P12","LS",17690,"R","R",26,"M",1,6,NA,0,63,46,33,0.68,0.5,0.36,NA,13,0.0932886199346826,0.1996597039621
"93","N","E1","P13","S",19295,"R","L",22,"F",16,NA,"College",3,72,59,48,0.78,0.64,0.52,NA,13,0.0492208833532648,-0.00205119685135779
"94","N","E1","P14","S",20831,"R","R",27,"F",10,26,"College",0,49,45,24,0.53,0.49,0.26,NA,13,-0.173250314374379,-0.281732145879957
"95","N","E1","P15","S",22367,"L","R",27,"F",21,NA,"High School",3,58,47,33,0.63,0.51,0.36,NA,13,-0.075395102334298,-0.0235371711696352
"96","N","E1","P16","S",23903,"R","R",18,"F",10,17,"High School",0,61,47,32,0.66,0.51,0.35,NA,13,-0.101313198739167,-0.203833057508452
"97","N","E1","P17","S",25439,"R","R",26,"M",10,NA,"College",1,65,50,35,0.71,0.54,0.38,NA,13,-0.0205570043661752,-0.0581025009479328
"98","N","E1","P18","LS",26906,"R","R",26,"F",3,11,NA,0,56,42,27,0.61,0.46,0.29,NA,13,-0.0169435170209001,-0.118919905946863
