"","Condition","Epoch","Hemisphere","subID","Skill","X","Handedness","Footedness","Age","Gender","Soccer_Time","Age_Last_Comp","Highest_Level","Currently_Play","Direction","Height","Total","Direction_Perc","Height_Perc","Total_Perc","Misc","Hz","CP_Avg_Single_Med","P_Avg_Single_Med","CP_Avg_Hem_r","P_Avg_Hem_r","CP_Avg_Single_r","P_Avg_Single_r","CP_Avg_Single_Med_r","P_Avg_Single_Med_r"
"32","B","E1","Left","P32","LS",95826,"R","R",25,"M",3,12,NA,0,55,49,27,0.597826087,0.532608696,0.293478261,NA,13,0.00432949811409459,0.194812601392063,0.0570722932361315,0.00356757039930489,0.0635819631068261,0.0268504256926921,0.0505626233654369,-0.0197152848940824
"33","B","E1","Left","P33","LS",98575,"R","R",21,"F",0,NA,NA,0,48,51,26,0.52173913,0.554347826,0.282608696,NA,13,-0.0482589918998387,0.299019581409145,0.113919410145573,0.139722276047649,0.199164706793846,0.300901487763745,0.0286741134972994,-0.0214569356684467
"34","B","E1","Left","P34","LS",101569,"R","R",32,"M",1,NA,NA,0.09,60,41,30,0.652173913,0.445652174,0.326086957,NA,13,-0.4690934806069,-0.167381771740036,0.213890028886758,0.169624544117644,0.218651065231326,0.225367913677321,0.209128992542189,0.113881174557967
"35","B","E1","Left","P35","S",105172,"R","L",20,"M",16,18,NA,1,59,48,29,0.641304348,0.52173913,0.315217391,NA,13,-0.203669880880058,-0.253028819053126,0.0489657943357039,0.0299021343965188,0.103438819313153,0.0679710602073421,-0.00550723064174591,-0.00816679141430432
"36","B","E1","Left","P36","LS",108167,"R","L",26,"F",0,NA,NA,0,50,52,25,0.543478261,0.565217391,0.27173913,NA,13,-0.0698563437866413,-0.30063467807529,-0.0447185140511132,-0.161514532272868,-0.0926699674546937,-0.189551855860256,0.00323293935246707,-0.133477208685479
"37","B","E1","Left","P37","S",111161,"R","L",25,"M",20,24,"College Club",1,75,50,42,0.815217391,0.543478261,0.456521739,NA,13,0.199019945038454,0.0438598469825494,-0.117021610906292,-0.116927167028263,-0.152642134728513,-0.168093980987691,-0.08140108708407,-0.065760353068834
"38","B","E1","Left","P38","S",114154,"R","L",27,"F",22,NA,"Collegiate",4,67,41,31,0.72826087,0.445652174,0.336956522,NA,13,1.14442502264404,0.946635284563108,0.153501870367013,0.330822975991277,0.116169052896499,0.476113587246148,0.190834687837528,0.185532364736405
"39","B","E1","Left","P39","S",116904,"R","R",26,"M",22,NA,"Professional Germany",4,70,41,33,0.760869565,0.445652174,0.358695652,NA,13,0.780915173231715,1.01192079742514,0.315367553658686,0.181479906427617,0.356994793981714,0.149987146714432,0.273740313335657,0.212972666140802
"40","B","E1","Left","P40","S",120018,"R","R",27,"M",23,NA,"Club College",1.5,65,41,25,0.706521739,0.445652174,0.27173913,NA,13,1.13389766869652,0.966202485901953,0.149135424524579,0.195581114799926,0.252114576598005,0.142111996171308,0.0461562724511511,0.249050233428543
"41","B","E1","Right","P01","LS",734,"R","R",34,"M",0,NA,NA,0,47,49,24,0.51,0.53,0.26,NA,13,-0.0460835482915968,0.127481279771035,-0.161406751794428,-0.0450637957466232,-0.290829968596478,0.0369001875535947,-0.0319835349923774,-0.127027779046841
"42","B","E1","Right","P02","LS",3363,"R","R",26,"M",3,13,NA,0,61,48,35,0.66,0.52,0.38,NA,13,-0.889514610751328,-0.887336519591819,-0.223404949119535,-0.280259055272234,-0.298327466712935,-0.380285603243221,-0.148482431526137,-0.180232507301247
"43","B","E1","Right","P03","LS",6356,"R","R",24,"M",1,NA,NA,0,64,47,35,0.7,0.51,0.38,NA,13,-0.219765570161734,-0.34053918482005,0.0837119078006748,0.0647238854741292,0.0551774915213706,-0.0159722111885637,0.112246324079979,0.145419982136822
"44","B","E1","Right","P04","S",10215,"R","R",33,"M",29,NA,"College",3.5,54,45,26,0.59,0.49,0.28,NA,13,-0.378178300624155,-0.416773027038624,0.210532412655354,0.27073743516215,0.271003128852623,0.320380426528888,0.150061696458085,0.221094443795412
"45","B","E1","Right","P05","S",12639,"R","R",52,"M",48,NA,"Semi-Pro",3,66,47,37,0.72,0.51,0.4,NA,13,-0.0999270562281741,-0.0714825594138685,0.196214192662499,0.241373547848961,0.298288240278693,0.179105772081879,0.0941401450463042,0.303641323616043
"46","B","E1","Right","P06","S",16338,"R","R",50,"M",42,NA,"Unknown",1,60,42,28,0.65,0.46,0.3,NA,13,0.058448849156377,-0.206724210004559,-0.256561620565894,-0.100717774500733,-0.157756987803176,0.0104836803909448,-0.35536625332861,-0.21191922939241
"47","B","E1","Right","P07","LS",18626,"R","R",27,"M",0,NA,NA,0.04,62,54,38,0.67,0.59,0.41,NA,13,-0.103222414451357,-0.0255249034742846,0.0393071846138769,-0.0913498383217067,-0.0407838061674142,-0.0759627272719197,0.119398175395168,-0.106736949371494
"48","B","E1","Right","P08","LS",21661,"R","R",26,"F",0,NA,NA,0,46,48,22,0.5,0.52,0.24,NA,13,-0.397029112283799,-0.588127997009659,-0.130613908475667,-0.101987913603816,-0.183908924071171,-0.156326053903652,-0.077318892880163,-0.0476497733039786
"49","B","E1","Right","P09","S",24980,"R","R",38,"M",30,NA,"College",2,70,39,31,0.76,0.42,0.34,NA,13,-0.419543945683323,-0.33295097011953,-0.0359432192293267,0.0499461060203883,-0.0444753418397614,0.183478459642723,-0.0274110966188918,-0.0835862476019459
"50","B","E1","Right","P10","S",28339,"R","R",27,"F",21,22,"College",0,53,45,30,0.58,0.49,0.33,NA,13,-0.137565846140588,-0.253825357501335,0.0583855839132047,0.0504314906532642,0.0927377301024637,-0.0769250536696138,0.0240334377239459,0.177788034976142
"51","B","E1","Right","P11","S",31332,"R","R",28,"M",23,NA,"Club College",1.5,62,48,33,0.67,0.52,0.36,NA,13,-0.495582279566096,-0.266308976775037,0.0130857333528569,-0.0803438263718574,-0.0318600637662927,-0.0645379832384738,0.0580315304720068,-0.0961496695052407
"52","B","E1","Right","P12","LS",33961,"R","R",26,"M",1,6,NA,0,58,43,31,0.63,0.47,0.34,NA,13,-0.435362101416673,-0.773016047294405,0.171885553350235,0.391626062912175,0.277053171493733,0.467734630533427,0.0667179352067369,0.315517495290922
"53","B","E1","Right","P13","S",37563,"R","L",22,"F",16,NA,"College",3,69,53,36,0.75,0.58,0.39,NA,13,-0.243906844976276,-0.276351107270322,0.11012398624317,0.139157725198009,0.238117021941059,-0.00344406278139997,-0.0178690494547183,0.281759513177419
"54","B","E1","Right","P14","S",40897,"R","R",27,"F",10,26,"College",0,54,49,29,0.59,0.53,0.32,"Pandemic",13,0.138908711975074,0.0253766514593568,-0.191239403302374,-0.143010173046228,-0.223803514687023,-0.235301586182774,-0.158675291917726,-0.0507187599096822
"55","B","E1","Right","P15","S",43795,"L","R",27,"F",21,NA,"High School",3,53,45,24,0.58,0.49,0.26,NA,13,-0.414227340399119,-0.260346416958886,-0.0814192472477344,-0.0669548411696932,-0.145961246408798,-0.059002050929302,-0.0168772480866711,-0.0749076314100842
"56","B","E1","Right","P16","S",47020,"R","R",18,"F",10,17,"High School",0,57,43,30,0.62,0.47,0.33,NA,13,-0.442521768946561,-0.412547172818687,-0.0528838469474849,-0.267539678667387,-0.218819476902794,-0.416551576229292,0.113051783007824,-0.118527781105481
"57","B","E1","Right","P17","S",50025,"R","R",26,"M",10,NA,"College",1,65,51,40,0.71,0.55,0.43,NA,13,-0.470900125309004,-0.156395633935363,0.109935315866846,0.0401825784885989,0.180159898996223,0.0402723449594456,0.0397107327374696,0.0400928120177521
